name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count
Townhou,Brooklyn,Private room,2,54,25,3.27,1,329,44,OSE,4.94,1.0,2,1.0,1586,1
Rental ,Brooklyn,Private room,30,2,309,0.16,1,255,1,No License,4.39,2.0,1,1.0,969,1
Home in,Brooklyn,Private room,30,2,189,0.3,4,364,2,No License,4.39,1.0,1,1.0,190,4
Rental ,Manhattan,Private room,30,3,501,0.09,8,14,0,No License,5.0,1.0,1,1.0,1063,7
Rental ,Manhattan,Entire home/apt,30,1,191,0.16,1,120,1,No License,4.39,1.0,1,1.0,328,1
Townhou,Queens,Private room,30,1,80,0.37,249,55,1,No License,4.39,1.0,1,1.0,170,70
Rental ,Brooklyn,Private room,30,3,2938,0.03,1,0,0,No License,5.0,1.0,1,0.0,178,1
Rental ,Brooklyn,Entire home/apt,30,451,31,5.72,1,179,61,No License,4.82,2.0,3,1.0,751,1
Rental ,Manhattan,Entire home/apt,3,1,66,0.45,1,14,1,Exempt,4.39,1.0,3,1.0,207,1
Guest s,Bronx,Entire home/apt,30,6,367,0.44,2,364,0,No License,4.33,1.0,1,1.0,5,2
Rental ,Manhattan,Entire home/apt,30,1,606,0.05,1,362,0,No License,4.39,1.0,1,1.0,1063,1
Rental ,Manhattan,Entire home/apt,30,24,691,0.56,1,148,0,No License,4.92,1.0,1,1.0,942,1
Home in,Bronx,Private room,30,4,1649,0.07,6,365,0,No License,4.75,1.0,1,1.0,36,4
Rental ,Queens,Entire home/apt,30,198,1335,2.19,1,364,0,No License,4.83,1.0,1,1.0,70,1
Rental ,Manhattan,Entire home/apt,4,6,25,1.59,10,269,6,Exempt,5.0,1.0,1,1.0,1063,10
Rental ,Queens,Private room,30,45,340,0.85,3,364,1,No License,4.78,1.0,1,2.0,361,3
Rental ,Manhattan,Entire home/apt,30,17,29,2.22,1,0,17,No License,4.5,0.0,1,1.0,1063,1
Rental ,Manhattan,Entire home/apt,30,3,155,0.21,44,218,2,No License,5.0,0.0,2,1.0,867,37
Home in,Queens,Private room,30,44,124,1.23,2,365,12,No License,4.77,1.0,1,1.0,241,2
Rental ,Manhattan,Private room,30,22,72,0.9,9,180,6,No License,4.36,1.0,1,1.0,158,6
Rental ,Brooklyn,Private room,30,14,125,1.43,3,365,14,No License,4.71,1.0,1,1.0,1586,3
Rental ,Queens,Private room,3,5,24,2.0,20,265,5,Exempt,5.0,1.0,1,1.0,324,15
Service,Manhattan,Entire home/apt,30,1,131,0.23,256,364,1,No License,4.39,0.0,1,1.0,786,146
Home in,Brooklyn,Private room,30,2,2404,0.02,1,180,0,No License,4.39,1.0,1,1.0,270,1
Rental ,Bronx,Private room,30,5,69,0.62,2,365,5,No License,5.0,1.0,1,1.0,24,2
Rental ,Brooklyn,Entire home/apt,30,151,47,1.06,1,197,23,No License,4.76,1.0,3,1.0,969,1
Rental ,Brooklyn,Entire home/apt,30,32,33,4.14,2,350,32,No License,4.78,3.0,4,1.5,95,2
Hotel i,Manhattan,Private room,2,12,11,6.0,36,61,12,Exempt,4.67,1.0,1,1.0,942,32
Home in,Queens,Entire home/apt,30,57,103,2.05,4,89,23,No License,4.82,1.0,5,1.0,170,4
Home in,Queens,Private room,1,44,5,0.49,1,363,14,OSE,4.77,1.0,1,1.0,324,1
Rental ,Manhattan,Private room,30,36,17,0.32,1,332,1,No License,4.5,1.0,1,1.0,302,1
Rental ,Manhattan,Entire home/apt,3,11,8,2.97,1,189,11,OSE,4.91,1.0,3,1.0,867,1
Rental ,Brooklyn,Entire home/apt,30,8,36,1.3,1,273,8,No License,4.88,2.0,2,1.0,1586,1
Rental ,Manhattan,Private room,30,5,64,0.15,2,55,1,No License,5.0,1.0,1,1.0,413,2
Rental ,Queens,Entire home/apt,30,6,96,0.36,1,148,4,No License,4.83,1.0,1,1.0,361,1
Rental ,Brooklyn,Entire home/apt,30,96,0,0.96,1,360,1,No License,4.83,2.0,3,1.0,1586,1
Townhou,Brooklyn,Entire home/apt,30,14,20,0.53,1,117,5,No License,4.93,1.0,2,1.0,166,1
Rental ,Manhattan,Entire home/apt,30,11,56,0.31,6,175,3,No License,4.27,3.0,3,1.0,867,4
Home in,Queens,Private room,30,118,115,1.93,8,337,32,No License,4.56,1.0,1,1.0,324,8
Rental ,Brooklyn,Entire home/apt,30,2,2349,0.02,1,188,0,No License,4.39,1.0,1,1.0,1586,1
Home in,Queens,Private room,2,6,3,1.61,1,268,6,OSE,4.5,1.0,1,1.0,69,1
Rental ,Brooklyn,Private room,30,5,34,0.27,1,61,3,No License,5.0,1.0,1,1.0,29,1
Home in,Brooklyn,Private room,30,37,56,2.61,2,256,28,No License,4.86,1.0,1,1.0,190,2
Condo i,Manhattan,Entire home/apt,30,23,72,0.32,1,348,5,No License,4.87,1.0,1,1.0,413,1
Rental ,Manhattan,Entire home/apt,30,12,4,2.34,1,365,12,No License,4.58,1.0,2,1.0,302,1
Home in,Queens,Shared room,30,2,123,0.24,5,334,2,No License,4.39,1.0,1,1.0,36,5
Rental ,Brooklyn,Entire home/apt,30,69,60,2.82,3,365,24,No License,4.83,2.0,2,1.0,1586,3
Rental ,Manhattan,Private room,30,1,139,0.21,2,364,1,No License,4.39,2.0,1,1.0,867,2
Rental ,Manhattan,Private room,30,38,41,2.51,1,361,28,No License,4.89,1.0,1,1.0,1063,1
Rental ,Brooklyn,Private room,30,6,35,0.21,5,334,2,No License,4.33,1.0,1,1.0,1586,5
Home in,Brooklyn,Entire home/apt,30,5,109,0.1,3,365,1,No License,4.6,4.0,4,2.0,664,3
Loft in,Queens,Entire home/apt,30,3,244,0.36,1,33,3,No License,5.0,1.0,1,2.0,163,1
Rental ,Manhattan,Entire home/apt,30,73,148,0.94,1,118,1,No License,4.34,1.0,1,1.0,191,1
Rental ,Manhattan,Entire home/apt,2,5,3,1.72,5,255,5,Exempt,4.2,3.0,3,2.0,786,5
Rental ,Queens,Entire home/apt,30,159,59,0.99,1,254,35,No License,4.87,1.0,2,1.0,131,1
Rental ,Manhattan,Private room,30,19,1465,0.33,1,365,0,No License,4.84,1.0,1,1.0,1063,1
Rental ,Manhattan,Entire home/apt,3,204,16,4.2,1,0,67,Exempt,4.85,1.0,2,1.0,366,1
Rental ,Brooklyn,Entire home/apt,30,18,12,0.47,1,334,2,No License,4.94,3.0,4,2.0,246,1
Rental ,Brooklyn,Private room,30,61,1543,0.84,1,0,0,No License,4.54,1.0,1,1.0,664,1
Condo i,Brooklyn,Entire home/apt,30,29,47,0.32,1,230,4,No License,4.93,2.0,2,1.0,664,1
Rental ,Brooklyn,Private room,30,80,90,1.43,1,165,14,No License,4.74,1.0,1,1.0,210,1
Rental ,Brooklyn,Entire home/apt,30,20,193,0.81,1,275,2,No License,4.35,2.0,3,1.0,664,1
Rental ,Queens,Private room,30,78,131,0.77,2,364,6,No License,4.72,1.0,1,1.0,241,2
Loft in,Brooklyn,Entire home/apt,30,24,110,1.53,1,365,6,No License,5.0,1.0,1,1.0,751,1
Rental ,Manhattan,Entire home/apt,2,17,26,3.25,7,153,17,Exempt,4.59,2.0,2,1.0,942,7
Rental ,Manhattan,Entire home/apt,30,6,369,0.07,33,27,0,No License,2.83,2.0,4,1.0,207,24
Rental ,Brooklyn,Entire home/apt,30,36,164,2.2,1,239,14,No License,4.89,0.0,1,1.0,1586,1
Condo i,Manhattan,Entire home/apt,30,99,104,0.71,1,145,2,No License,4.87,2.0,2,1.0,73,1
Home in,Brooklyn,Entire home/apt,30,134,54,1.07,2,310,20,No License,4.82,1.0,1,1.0,1586,2
Rental ,Brooklyn,Private room,30,28,77,2.61,1,0,28,No License,4.82,1.0,1,1.0,1586,1
Condo i,Manhattan,Entire home/apt,30,41,42,1.86,2,365,19,No License,4.9,1.0,1,2.0,942,2
Rental ,Manhattan,Entire home/apt,31,1,476,0.06,713,277,0,No License,4.39,1.0,1,1.0,867,107
Condo i,Manhattan,Private room,30,40,137,1.25,2,364,3,No License,4.6,2.0,4,1.0,1063,2
Rental ,Manhattan,Entire home/apt,3,21,19,1.62,2,135,20,Exempt,4.9,1.0,1,1.0,867,2
Rental ,Manhattan,Entire home/apt,30,9,26,1.12,1,97,9,No License,5.0,1.0,2,1.0,942,1
Service,Manhattan,Private room,30,56,46,3.29,22,225,36,No License,4.73,1.0,1,1.0,1063,22
Home in,Queens,Private room,30,285,70,7.47,1,362,54,No License,4.91,1.0,1,1.0,111,1
