name,neighbourhood_group,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,rating,bedrooms,beds,baths,nb_count,host_id_count,price-transform
Rental ,Brooklyn,Private room,30,3,2938,0.03,1,0,0,No License,5.0,1.0,1,0.0,178,1,2.6567249660442998
Rental ,Manhattan,Entire home/apt,30,9,249,0.24,139,364,2,No License,4.67,2.0,1,1.0,867,129,3.0136831419327623
Rental ,Manhattan,Entire home/apt,2,6,18,1.67,1,343,6,Exempt,4.17,1.0,2,1.0,366,1,3.0981644592306035
Rental ,Manhattan,Private room,30,156,110,1.38,2,363,12,No License,4.64,1.0,1,1.0,302,2,2.9517727088869
Condo i,Manhattan,Entire home/apt,30,11,33,0.24,133,335,3,No License,4.91,0.0,1,1.0,207,113,2.827617620540271
Rental ,Manhattan,Entire home/apt,30,5,160,0.16,139,276,2,No License,5.0,1.0,1,1.0,867,129,2.936957517084059
Rental ,Manhattan,Entire home/apt,30,3,492,0.1,139,364,0,No License,4.33,0.0,1,1.0,867,129,2.9048178166875385
Rental ,Manhattan,Entire home/apt,30,10,220,0.26,139,295,2,No License,4.5,2.0,2,1.0,867,129,2.9792605776210648
Rental ,Brooklyn,Private room,30,19,96,0.24,2,5,2,No License,4.79,1.0,1,1.0,969,2,2.8488576348688746
Rental ,Brooklyn,Entire home/apt,30,12,78,1.71,1,365,12,No License,4.67,1.0,1,1.0,173,1,3.231438681536747
Rental ,Queens,Private room,30,1,137,0.22,1,365,1,No License,4.39,1.0,2,1.0,361,1,2.9517727088869
Rental ,Brooklyn,Entire home/apt,30,49,89,0.67,1,0,7,No License,4.71,0.0,1,1.0,969,1,3.0483371225710463
Rental ,Manhattan,Entire home/apt,30,1,128,0.23,1,38,1,No License,4.39,1.0,1,1.0,204,1,2.887312033330232
Rental ,Queens,Private room,30,1,1524,0.02,1,0,0,No License,4.39,1.0,1,1.0,138,1,2.7534287921185427
Rental ,Manhattan,Entire home/apt,30,5,1728,0.08,1,0,0,No License,3.2,2.0,3,1.0,302,1,3.056342473792042
Service,Manhattan,Hotel room,30,1,1648,0.02,10,363,0,Exempt,4.39,0.0,2,1.0,942,5,3.5380401853203587
Home in,Queens,Private room,30,1,1916,0.02,1,0,0,No License,4.39,1.0,1,1.0,184,1,2.572227276182801
Condo i,Manhattan,Entire home/apt,180,1,1655,0.02,1,358,0,No License,4.39,2.0,2,2.0,629,1,3.333922383614411
Service,Manhattan,Private room,30,5,528,0.1,12,0,0,No License,4.8,1.0,1,1.0,211,12,3.11285040359274
Rental ,Brooklyn,Entire home/apt,30,26,1391,0.47,2,0,0,No License,4.65,1.0,1,1.0,57,2,2.9517727088869
Rental ,Brooklyn,Entire home/apt,30,1,1609,0.02,1,0,0,No License,4.39,1.0,2,1.0,969,1,2.887312033330232
Rental ,Brooklyn,Entire home/apt,30,12,1461,0.21,1,0,0,No License,5.0,2.0,2,1.0,751,1,3.148297041946351
Rental ,Brooklyn,Entire home/apt,30,4,1119,0.08,1,0,0,No License,4.75,1.0,1,1.0,28,1,2.8231862587850465
Rental ,Manhattan,Private room,30,1,1666,0.02,1,0,0,No License,4.39,1.0,1,1.0,71,1,3.1191154596054207
Hotel i,Manhattan,Private room,1,2,44,0.5,35,0,2,Exempt,4.39,1.0,1,1.0,867,17,3.199102810563897
Townhou,Queens,Private room,30,1,1463,0.02,1,0,0,No License,4.39,1.0,2,1.0,170,1,2.827617620540271
Rental ,Manhattan,Private room,30,1,1446,0.02,1,0,0,No License,4.39,1.0,1,1.5,19,1,2.7534287921185427
Rental ,Bronx,Private room,30,9,733,0.18,1,2,0,No License,4.89,1.0,1,1.0,27,1,2.6922125944076853
Rental ,Brooklyn,Private room,30,7,1829,0.09,3,0,0,No License,4.43,1.0,1,1.0,969,3,2.8488576348688746
Rental ,Manhattan,Entire home/apt,30,2,219,0.17,1,0,2,No License,4.39,1.0,1,1.0,1063,1,2.7801576351167334
Rental ,Brooklyn,Private room,30,8,112,0.22,1,15,5,No License,5.0,1.0,1,1.0,969,1,2.908196882308139
Rental ,Brooklyn,Private room,90,1,1130,0.03,589,0,0,No License,4.39,1.0,1,2.0,270,54,2.473751489171697
Hotel i,Brooklyn,Private room,1,3,18,0.94,35,0,3,Exempt,4.33,1.0,1,1.0,969,17,3.148297041946351
Rental ,Bronx,Private room,30,2,1020,0.06,1,0,0,No License,4.39,1.0,1,1.0,7,1,2.6567249660442998
Home in,Queens,Private room,30,28,14,1.54,6,55,12,No License,4.82,1.0,1,1.0,324,5,2.747802745310898
Condo i,Manhattan,Entire home/apt,30,155,35,1.04,1,91,6,No License,4.69,1.0,1,1.0,942,1,3.099838436355272
Rental ,Queens,Private room,30,6,684,0.18,6,0,0,No License,5.0,1.0,1,1.0,184,4,2.8836824505315013
Loft in,Brooklyn,Private room,30,11,261,0.12,1,3,1,No License,5.0,2.0,1,1.0,301,1,3.0861319469347137
Rental ,Manhattan,Entire home/apt,365,19,3041,0.13,1,0,0,No License,4.11,1.0,1,1.0,942,1,2.965852458546067
Rental ,Manhattan,Private room,30,10,1464,0.11,1,0,0,No License,4.9,1.0,1,1.5,302,1,2.827617620540271
Rental ,Brooklyn,Private room,30,9,1593,0.11,1,0,0,No License,4.33,1.0,1,1.0,178,1,2.7801576351167334
Rental ,Queens,Private room,30,1,986,0.03,1,0,0,No License,4.39,1.0,1,1.0,163,1,2.887312033330232
Home in,Brooklyn,Private room,30,4,126,0.12,7,285,2,No License,4.5,1.0,1,1.0,135,7,2.4980604451843584
Home in,Queens,Private room,30,3,207,0.39,3,364,3,No License,4.67,0.0,3,1.0,324,3,2.954645330109129
